f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
14927.190311476028,19.27428936958313,19.272682189941406,0,273,273,17432,8,4,1
18375.15356137603,35.366673946380615,35.36458611488342,0,546,546,17432,8,4,1
20205.433314663765,51.8665714263916,51.86419081687927,0,819,819,17432,8,4,1
21514.431841735026,68.76284456253052,68.75971627235413,0,1092,1092,17432,8,4,1
22531.984968629233,86.62554550170898,86.62201070785522,0,1365,1365,17432,8,4,1
