f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
15427.900162522961,482.5810081958771,216.96699476242065,265.60023379325867,273,273,17432,8,4,1
18602.740121617062,1286.6380863189697,327.5944981575012,959.0300376415253,546,546,17432,8,4,1
20512.086702089757,2469.748076915741,388.456139087677,2081.2785382270813,819,819,17432,8,4,1
21894.39074729039,4034.5081758499146,451.1594805717468,3583.335415124893,1092,1092,17432,8,4,1
22971.005193395842,5911.672045946121,475.0555989742279,5436.603078365326,1365,1365,17432,8,4,1
