f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
563.1754607427553,956.9368941783905,956.9342093467712,0,416,416,26588,8,4,1
1234.0107573561263,957.1349585056305,957.132381439209,0,832,832,26588,8,4,1
1521.842141989977,2162.3085329532623,2162.3049857616425,0,1248,1248,26588,8,4,1
2147.1419961822166,2159.560870409012,2159.557175397873,0,1664,1664,26588,8,4,1
2425.651707613772,3715.8694427013397,3715.8641459941864,0,2080,2080,26588,8,4,1
