f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
760.6658399053301,13.49859619140625,8.477821111679077,5.0003602504730225,416,416,26588,8,4,1
1262.7643148485413,60.109495878219604,45.6342453956604,14.454647779464722,832,832,26588,8,4,1
1720.7054284576182,70.09984159469604,44.8269624710083,25.252347230911255,1248,1248,26588,8,4,1
2162.3807595867684,62.100372552871704,32.00761890411377,30.07205581665039,1664,1664,26588,8,4,1
2597.6368356063294,59.96509885787964,31.355705738067627,28.588846445083618,2080,2080,26588,8,4,1
