f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
267.6574907490697,2406.490647792816,2347.511081457138,58.958984375,100,100,26588,8,4,1
429.44269896649604,2915.70810174942,2785.662977695465,130.02437925338745,194,200,26588,8,4,1
553.4578934540641,3152.5498280525208,2951.214512348175,201.31425428390503,300,300,26588,8,4,1
714.4485850267656,3379.2888853549957,3074.7580029964447,304.5101430416107,398,400,26588,8,4,1
811.8571724417644,3630.054550409317,3244.477295398712,385.55645966529846,499,500,26588,8,4,1
