f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
258.2224349200129,2459.9170978069305,2397.3199536800385,62.576658487319946,100,100,26588,8,4,1
428.70160980520006,2950.8374643325806,2811.1411695480347,139.67563676834106,200,200,26588,8,4,1
557.3601287025045,3211.8846192359924,2990.1479365825653,221.71603655815125,294,300,26588,8,4,1
702.5245581229817,3578.117243051529,3283.122321128845,294.97416257858276,391,400,26588,8,4,1
797.7804664177045,3635.685167312622,3247.4904680252075,388.17381167411804,500,500,26588,8,4,1
