f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
11099.778029369945,3949.2405834198,0,0,100,100,17432,8,4,1
14046.631246540603,8799.090698957443,0,0,200,200,17432,8,4,1
