f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
278.28856383015614,9.213367642999856,5.758805760000087,3.404471969000042,100,100,26588,8,8,1
451.679962611745,13.340654405999885,6.957251111000005,6.334683323000263,200,200,26588,8,8,1
601.9093103940468,21.440898184999696,10.24533684500011,11.146224468999662,300,300,26588,8,8,1
739.234735486805,23.72049947000005,9.830272659999991,13.840200129000095,400,400,26588,8,8,1
869.0833930599945,39.787620135,21.28996272700033,18.44631898300031,500,500,26588,8,8,1
