f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
10949.380108238503,12.807953119277954,11.69119906425476,1.1033287048339844,100,100,17432,2,4,1
13865.331672707793,16.90293264389038,14.792182207107544,2.0970821380615234,200,200,17432,2,4,1
15602.372808726386,20.28456997871399,17.30483889579773,2.9662115573883057,300,300,17432,2,4,1
16848.034101925656,23.88566565513611,19.812421798706055,4.059919118881226,400,400,17432,2,4,1
17859.454985669374,26.782278776168823,21.809717655181885,4.959164142608643,500,500,17432,2,4,1
