f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
19284,20.39486312866211,18.383704662322998,1.934002161026001,50,50,100000,8,1,1
26351,26.13200855255127,21.178465366363525,4.875499963760376,100,100,100000,8,1,1
31538,30.562376499176025,23.242762327194214,7.242709159851074,150,150,100000,8,1,1
35566,35.55009651184082,25.615785598754883,9.857135534286499,200,200,100000,8,1,1
