f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
278.7994805077446,142.67684364318848,120.10360336303711,22.553641319274902,100,100,26588,8,4,1
453.7648608893663,277.2751975059509,178.9549949169159,98.30007290840149,200,200,26588,8,4,1
605.3947896148173,455.4209804534912,237.4380021095276,217.96306467056274,300,300,26588,8,4,1
743.958662006157,670.4951174259186,287.71541380882263,382.76005029678345,400,400,26588,8,4,1
874.0968755461807,930.3296284675598,339.6692795753479,590.6405355930328,500,500,26588,8,4,1
