app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
InfMax,DQS-64-1_42,1163.291265482853,2498.859142065048,2382.9522140026093,113.69071102142334,13,13,1134890,64,1,1
InfMax,DQS-64-1_42,1495.9777555875376,2638.609120130539,2396.183475971222,240.22390222549438,27,27,1134890,64,1,1
InfMax,DQS-64-1_42,1934.961781159443,2972.681564092636,2405.9874408245087,564.4790050983429,41,41,1134890,64,1,1
