f_of_S,Time,SolSize,k,n,nNodes,nThreads,trial
1027466.0,13.064706802368164,100,100,10677,8,4,1
2044923.0,16.798298120498657,200,200,10677,8,4,1
3047713.0,57.507261991500854,300,300,10677,8,4,1
4022638.0,65.16636276245117,400,400,10677,8,4,1
4985397.0,66.26753997802734,500,500,10677,8,4,1
