app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
InfMax,MEDRG-32-1_8,4.65,42.756340980529785,42.74531412124634,0,4,4,100000,32,1,1
InfMax,MEDRG-32-1_8,9.279900000000001,88.49950003623962,88.48918986320496,0,8,8,100000,32,1,1
InfMax,MEDRG-32-1_8,18.479900000000004,149.51745581626892,149.50741004943848,0,16,16,100000,32,1,1
InfMax,MEDRG-32-1_8,36.8198,294.18364000320435,294.1706700325012,0,32,32,100000,32,1,1
InfMax,MEDRG-32-1_8,73.2998,580.9530560970306,580.9365031719208,0,64,64,100000,32,1,1
InfMax,MEDRG-32-1_8,145.65940000000003,1449.8525149822235,1449.8349528312683,0,128,128,100000,32,1,1
InfMax,MEDRG-32-1_8,289.77650000000006,2501.269958972931,2501.2554528713226,0,256,256,100000,32,1,1
InfMax,MEDRG-32-1_8,576.481302,4138.453371047974,4138.263773441315,0,512,512,100000,32,1,1
InfMax,MEDRG-32-1_8,1144.8288070000003,6563.130860090256,6563.115166187286,0,1024,1024,100000,32,1,1
InfMax,MEDRG-32-1_8,2273.0732559900007,13646.284853935242,13646.232622385025,0,2048,2048,100000,32,1,1
