app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
RevMax,RandGreedI-32-1_35,48.0,20.503638982772827,19.90835690498352,0.40004491806030273,4,4,100000,32,1,1
RevMax,RandGreedI-32-1_35,96.0,34.3148980140686,33.430063009262085,0.6928250789642334,8,8,100000,32,1,1
RevMax,RandGreedI-32-1_35,192.0,49.26508688926697,47.805514097213745,1.2669179439544678,16,16,100000,32,1,1
RevMax,RandGreedI-32-1_35,380.0,95.299889087677,88.41377711296082,6.691943168640137,32,32,100000,32,1,1
RevMax,RandGreedI-32-1_35,732.0,228.2944610118866,154.67417407035828,73.42695307731628,64,64,100000,32,1,1
RevMax,RandGreedI-32-1_35,1436.0,634.0673308372498,277.14454793930054,356.7311689853668,128,128,100000,32,1,1
RevMax,RandGreedI-32-1_35,2844.0,2455.633491039276,503.2901978492737,1952.155128955841,256,256,100000,32,1,1
RevMax,RandGreedI-32-1_35,5660.0,10551.863662958145,895.6288659572601,9656.047374010086,512,512,100000,32,1,1
