app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
InfMax,RandGreedI-32-1_35,4.65,42.746833086013794,40.82930397987366,1.725106954574585,4,4,100000,32,1,1
InfMax,RandGreedI-32-1_35,9.279900000000001,76.93800401687622,73.3963611125946,3.3536078929901123,8,8,100000,32,1,1
InfMax,RandGreedI-32-1_35,18.479900000000004,134.01640009880066,122.19788408279419,11.628626108169556,16,16,100000,32,1,1
InfMax,RandGreedI-32-1_35,36.81980000000001,308.58794713020325,259.9169888496399,48.47886800765991,32,32,100000,32,1,1
InfMax,RandGreedI-32-1_35,73.29980000000003,616.5650329589844,417.1603660583496,199.21258902549744,64,64,100000,32,1,1
InfMax,RandGreedI-32-1_35,145.65940000000003,1556.6528840065002,683.4550170898438,873.0102310180664,128,128,100000,32,1,1
InfMax,RandGreedI-32-1_35,289.7863000000001,4577.868947982788,1380.9128668308258,3196.766258955002,256,256,100000,32,1,1
InfMax,RandGreedI-32-1_35,576.4815020000002,11991.927181005478,1820.9896411895752,10170.750749111176,512,512,100000,32,1,1
