,app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
2,RevMax,RandGreedI,192.0,49.50601601600647,48.049412965774536,1.2637629508972168,16,16,100000,32,1,1
3,RevMax,RandGreedI,380.0,95.83876490592957,89.00594997406006,6.643821954727173,32,32,100000,32,1,1
4,RevMax,RandGreedI,732.0,223.2800669670105,184.01327800750727,39.07686901092529,64,64,100000,32,1,1
5,RevMax,RandGreedI,1436.0,615.9646670818329,279.07366609573364,336.7013440132141,128,128,100000,32,1,1
6,RevMax,RandGreedI,2844.0,2428.4233210086823,518.326502084732,1909.9066631793976,256,256,100000,32,1,1
7,RevMax,RandGreedI,5660.0,10537.004518032074,935.4970359802246,9601.31535410881,512,512,100000,32,1,1
0,RevMax,RandGreedI,48.0,20.503638982772827,19.90835690498352,0.4000449180603027,4,4,100000,32,1,1
1,RevMax,RandGreedI,96.0,34.3148980140686,33.430063009262085,0.6928250789642334,8,8,100000,32,1,1
2,RevMax,RandGreedI,192.0,49.26508688926697,47.80551409721375,1.2669179439544678,16,16,100000,32,1,1
3,RevMax,RandGreedI,380.0,95.299889087677,88.41377711296082,6.691943168640137,32,32,100000,32,1,1
4,RevMax,RandGreedI,732.0,228.2944610118866,154.67417407035828,73.42695307731628,64,64,100000,32,1,1
5,RevMax,RandGreedI,1436.0,634.0673308372498,277.14454793930054,356.7311689853668,128,128,100000,32,1,1
6,RevMax,RandGreedI,2844.0,2455.633491039276,503.2901978492737,1952.155128955841,256,256,100000,32,1,1
7,RevMax,RandGreedI,5660.0,10551.863662958143,895.6288659572601,9656.047374010086,512,512,100000,32,1,1
0,RevMax,RandGreedI,48.0,20.81180191040039,20.228368997573853,0.3964378833770752,4,4,100000,32,1,1
1,RevMax,RandGreedI,96.0,34.703957080841064,33.83231496810913,0.6854860782623291,8,8,100000,32,1,1
2,RevMax,RandGreedI,192.0,48.36061811447144,46.91455602645874,1.2604801654815674,16,16,100000,32,1,1
3,RevMax,RandGreedI,380.0,92.56353497505188,85.72435307502747,6.653241157531738,32,32,100000,32,1,1
4,RevMax,RandGreedI,732.0,209.7445149421692,142.93360805511475,66.6231141090393,64,64,100000,32,1,1
5,RevMax,RandGreedI,1436.0,661.7524042129517,273.5022428035736,388.0596270561218,128,128,100000,32,1,1
6,RevMax,RandGreedI,2844.0,2466.184273958206,496.9798030853272,1969.0186409950256,256,256,100000,32,1,1
7,RevMax,RandGreedI,5660.0,9725.844110965729,911.2683229446412,8814.388917922974,512,512,100000,32,1,1
