app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
InfMax,MEDRG-32-1_25,4.65,42.85162711143494,42.84097599983215,0,4,4,100000,32,1,1
InfMax,MEDRG-32-1_25,9.279900000000001,89.76432299613953,89.75396490097046,0,8,8,100000,32,1,1
InfMax,MEDRG-32-1_25,18.479900000000004,132.64684510231018,132.63704895973206,0,16,16,100000,32,1,1
InfMax,MEDRG-32-1_25,36.81980000000001,331.1137800216675,331.10369396209717,0,32,32,100000,32,1,1
InfMax,MEDRG-32-1_25,73.2998,576.1484041213989,576.1379280090332,0,64,64,100000,32,1,1
InfMax,MEDRG-32-1_25,145.65940000000003,1341.7246968746185,1341.7148880958557,0,128,128,100000,32,1,1
InfMax,MEDRG-32-1_25,289.77650000000006,2484.578106880188,2484.5642018318176,0,256,256,100000,32,1,1
InfMax,MEDRG-32-1_25,576.4815020000001,4564.550606966019,4564.533581733704,0,512,512,100000,32,1,1
InfMax,MEDRG-32-1_25,1144.8290070000003,7571.931219100952,7571.916243553162,0,1024,1024,100000,32,1,1
InfMax,MEDRG-32-1_25,2273.1125599900006,13470.313508987427,13470.287988901138,0,2048,2048,100000,32,1,1
