app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
InfMax,MEDRG-32-1_35,4.65,43.0538649559021,43.042558908462524,0,4,4,100000,32,1,1
InfMax,MEDRG-32-1_35,9.279900000000001,77.34429407119751,77.33411288261414,0,8,8,100000,32,1,1
InfMax,MEDRG-32-1_35,18.479900000000004,134.74138498306274,134.73147702217102,0,16,16,100000,32,1,1
InfMax,MEDRG-32-1_35,36.81980000000001,305.41767597198486,305.40761494636536,0,32,32,100000,32,1,1
InfMax,MEDRG-32-1_35,73.29980000000003,615.4918658733368,615.4814701080322,0,64,64,100000,32,1,1
InfMax,MEDRG-32-1_35,145.65940000000003,1094.4757809638977,1094.4653961658478,0,128,128,100000,32,1,1
InfMax,MEDRG-32-1_35,289.7863,2386.284457921982,2386.272367954254,0,256,256,100000,32,1,1
InfMax,MEDRG-32-1_35,576.4916020000001,4191.279257059097,4191.1607830524445,0,512,512,100000,32,1,1
InfMax,MEDRG-32-1_35,1144.8480070000003,6456.602035999298,6456.582687854767,0,1024,1024,100000,32,1,1
InfMax,MEDRG-32-1_35,2273.0815629900003,12316.430730104446,12316.407076358795,0,2048,2048,100000,32,1,1
