app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
RevMax,MEDRG-32-1,48.0,21.34754490852356,21.337126970291138,0,4,4,100000,32,1,1
RevMax,MEDRG-32-1,96.0,35.29901385307312,35.2881178855896,0,8,8,100000,32,1,1
RevMax,MEDRG-32-1,192.0,49.71158003807068,49.70177412033081,0,16,16,100000,32,1,1
RevMax,MEDRG-32-1,380.0,94.3394238948822,94.32960796356201,0,32,32,100000,32,1,1
RevMax,MEDRG-32-1,732.0,206.55706095695496,206.54669713974,0,64,64,100000,32,1,1
RevMax,MEDRG-32-1,1436.0,539.7317960262299,539.7217538356781,0,128,128,100000,32,1,1
RevMax,MEDRG-32-1,2844.0,1198.6556870937347,1198.6455600261688,0,256,256,100000,32,1,1
RevMax,MEDRG-32-1,5660.0,2749.1379919052124,2749.1252818107605,0,512,512,100000,32,1,1
RevMax,MEDRG-32-1,11292.0,5924.095602989197,5924.078323364258,0,1024,1024,100000,32,1,1
RevMax,MEDRG-32-1,22556.0,11804.868955850601,11804.83367061615,0,2048,2048,100000,32,1,1
RevMax,MEDRG-32-1,33264.25297650745,19312.939972162247,19312.89898610115,0,3125,3125,100000,32,1,1
