app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
NetCov,MEDRG-32-1_8,4114,19.017781972885132,19.00052499771118,0,4,4,100000,32,1,1
NetCov,MEDRG-32-1_8,7073,32.37511491775513,32.358559131622314,0,8,8,100000,32,1,1
NetCov,MEDRG-32-1_8,10733,52.57694911956787,52.56083679199219,0,16,16,100000,32,1,1
NetCov,MEDRG-32-1_8,15476,127.77126598358154,127.75509786605835,0,32,32,100000,32,1,1
NetCov,MEDRG-32-1_8,21717,328.4394748210907,328.4230191707611,0,64,64,100000,32,1,1
NetCov,MEDRG-32-1_8,29502,905.576602935791,905.5584700107574,0,128,128,100000,32,1,1
NetCov,MEDRG-32-1_8,39406,2102.8583920001984,2102.8474836349487,0,256,256,100000,32,1,1
NetCov,MEDRG-32-1_8,50694,4104.527808189392,4104.516997337341,0,512,512,100000,32,1,1
NetCov,MEDRG-32-1_8,63365,8087.817765951157,8087.802656173706,0,1024,1024,100000,32,1,1
NetCov,MEDRG-32-1_8,76811,16219.228416204453,16219.202940702438,0,2048,2048,100000,32,1,1
