app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
InfMax,RandGreedI-32-1_25,4.65,42.76965403556824,40.757023096084595,1.823004961013794,4,4,100000,32,1,1
InfMax,RandGreedI-32-1_25,9.279900000000001,90.07080006599426,86.54028010368347,3.338776111602783,8,8,100000,32,1,1
InfMax,RandGreedI-32-1_25,18.479900000000004,133.18918704986572,121.37959599494934,11.620699167251587,16,16,100000,32,1,1
InfMax,RandGreedI-32-1_25,36.81980000000001,330.0750241279602,286.52287197113037,43.36382818222046,32,32,100000,32,1,1
InfMax,RandGreedI-32-1_25,73.2998,570.5189919471741,381.58151412010193,188.7469038963318,64,64,100000,32,1,1
InfMax,RandGreedI-32-1_25,145.65940000000003,1272.6696150302887,687.674073934555,584.8034110069275,128,128,100000,32,1,1
InfMax,RandGreedI-32-1_25,289.7764,3791.822662830353,1143.4137330055237,2648.215987920761,256,256,100000,32,1,1
InfMax,RandGreedI-32-1_25,576.481402,12173.529528141022,1735.7354781627655,10437.603876113892,512,512,100000,32,1,1
