app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
NetCov,MEDRG-32-1_25,4114,18.244201183319092,18.233428955078125,0,4,4,100000,32,1,1
NetCov,MEDRG-32-1_25,7073,31.262875080108643,31.252108812332153,0,8,8,100000,32,1,1
NetCov,MEDRG-32-1_25,10733,61.08319306373596,61.07340216636658,0,16,16,100000,32,1,1
NetCov,MEDRG-32-1_25,15476,109.85862708091736,109.84900212287903,0,32,32,100000,32,1,1
NetCov,MEDRG-32-1_25,21717,319.54218220710754,319.5325241088867,0,64,64,100000,32,1,1
NetCov,MEDRG-32-1_25,29502,883.4945049285889,883.484964132309,0,128,128,100000,32,1,1
NetCov,MEDRG-32-1_25,39406,2078.0388300418854,2078.02894282341,0,256,256,100000,32,1,1
NetCov,MEDRG-32-1_25,50692,4470.5026841163635,4470.492013931274,0,512,512,100000,32,1,1
NetCov,MEDRG-32-1_25,63364,8689.124736070633,8689.043111801147,0,1024,1024,100000,32,1,1
NetCov,MEDRG-32-1_25,76830,15907.963489055634,15907.94294309616,0,2048,2048,100000,32,1,1
