app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
NetCov,RandGreedI-32-1_25,4114,18.115533113479614,17.08501100540161,0.840522050857544,4,4,100000,32,1,1
NetCov,RandGreedI-32-1_25,7073,30.967814922332764,29.176497220993042,1.6058290004730225,8,8,100000,32,1,1
NetCov,RandGreedI-32-1_25,10733,60.485543966293335,52.381645917892456,7.914546966552734,16,16,100000,32,1,1
NetCov,RandGreedI-32-1_25,15476,109.36649489402771,66.51188111305237,42.666199922561646,32,32,100000,32,1,1
NetCov,RandGreedI-32-1_25,21717,317.07204389572144,131.95073199272156,184.93171095848083,64,64,100000,32,1,1
NetCov,RandGreedI-32-1_25,29502,1172.1594829559326,221.48495388031006,950.4905958175659,128,128,100000,32,1,1
NetCov,RandGreedI-32-1_25,39406,4001.989389896393,338.66436100006104,3663.1367819309235,256,256,100000,32,1,1
NetCov,RandGreedI-32-1_25,50693,13269.009027957916,510.78992199897766,12758.035076856613,512,512,100000,32,1,1
