app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
InfMax,RandGreedI-32-1_14,4.65,43.80687594413757,41.84562587738037,1.768432855606079,4,4,100000,32,1,1
InfMax,RandGreedI-32-1_14,9.279900000000003,89.49793601036072,83.4670090675354,5.842839956283569,8,8,100000,32,1,1
InfMax,RandGreedI-32-1_14,18.4799,130.43825888633728,118.69796299934387,11.552047967910767,16,16,100000,32,1,1
InfMax,RandGreedI-32-1_14,36.81980000000001,283.2914209365845,219.57933282852173,63.52048206329346,32,32,100000,32,1,1
InfMax,RandGreedI-32-1_14,73.29980000000003,549.0424420833588,411.22877502441406,137.62205505371094,64,64,100000,32,1,1
InfMax,RandGreedI-32-1_14,145.6594,1145.2622139453888,663.5271179676056,481.54411602020264,128,128,100000,32,1,1
InfMax,RandGreedI-32-1_14,289.7863000000001,3785.7367861270905,1137.0839529037476,2648.4642310142517,256,256,100000,32,1,1
InfMax,RandGreedI-32-1_14,576.4916020000001,10457.784684181213,1851.5550310611725,8606.042623996735,512,512,100000,32,1,1
