app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
InfMax,MEDRG-32-1,4.65,41.6307590007782,41.62039089202881,0,4,4,100000,32,1,1
InfMax,MEDRG-32-1,9.279900000000003,74.14531397819519,74.13524317741394,0,8,8,100000,32,1,1
InfMax,MEDRG-32-1,18.479900000000004,137.57763695716858,137.56788301467896,0,16,16,100000,32,1,1
InfMax,MEDRG-32-1,36.8198,289.7038559913635,289.69357895851135,0,32,32,100000,32,1,1
InfMax,MEDRG-32-1,73.2998,552.2768709659576,552.2669849395752,0,64,64,100000,32,1,1
InfMax,MEDRG-32-1,145.6594,1167.281553030014,1167.2697939872742,0,128,128,100000,32,1,1
InfMax,MEDRG-32-1,289.7863000000001,2424.38676905632,2424.3765108585358,0,256,256,100000,32,1,1
InfMax,MEDRG-32-1,576.491302,4150.42952299118,4150.413860321045,0,512,512,100000,32,1,1
InfMax,MEDRG-32-1,1144.8488080000002,6385.495383024216,6385.480129480362,0,1024,1024,100000,32,1,1
InfMax,MEDRG-32-1,2273.1319599900003,12435.27674984932,12435.24655532837,0,2048,2048,100000,32,1,1
