app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
RevMax,MEDRG-32-1_8,48.0,20.98643398284912,20.975292921066284,0,4,4,100000,32,1,1
RevMax,MEDRG-32-1_8,96.0,34.75458598136902,34.74457406997681,0,8,8,100000,32,1,1
RevMax,MEDRG-32-1_8,192.0,48.58300280570984,48.57275581359863,0,16,16,100000,32,1,1
RevMax,MEDRG-32-1_8,380.0,93.16110491752625,93.15135216712952,0,32,32,100000,32,1,1
RevMax,MEDRG-32-1_8,732.0,209.7155249118805,209.70553708076477,0,64,64,100000,32,1,1
RevMax,MEDRG-32-1_8,1436.0,593.1190559864044,593.1032149791718,0,128,128,100000,32,1,1
RevMax,MEDRG-32-1_8,2844.0,1178.7560820579529,1178.7390909194946,0,256,256,100000,32,1,1
RevMax,MEDRG-32-1_8,5660.0,2765.881870031357,2765.870507955551,0,512,512,100000,32,1,1
RevMax,MEDRG-32-1_8,11292.0,5552.3587300777435,5552.341805934906,0,1024,1024,100000,32,1,1
RevMax,MEDRG-32-1_8,22556.0,11194.921319007874,11194.798953294754,0,2048,2048,100000,32,1,1
RevMax,MEDRG-32-1_8,34399.155722066724,18874.43502306938,18874.39791917801,0,3125,3125,100000,32,1,1
