app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
RevMax,MEDRG-32-1_35,48.0,20.574676036834717,20.563807010650635,0,4,4,100000,32,1,1
RevMax,MEDRG-32-1_35,96.0,34.45898985862732,34.44848895072937,0,8,8,100000,32,1,1
RevMax,MEDRG-32-1_35,192.0,49.71565389633179,49.70556879043579,0,16,16,100000,32,1,1
RevMax,MEDRG-32-1_35,380.0,95.87735605239868,95.86729288101196,0,32,32,100000,32,1,1
RevMax,MEDRG-32-1_35,732.0,229.30387902259827,229.29350090026855,0,64,64,100000,32,1,1
RevMax,MEDRG-32-1_35,1436.0,561.2357130050659,561.2252991199493,0,128,128,100000,32,1,1
RevMax,MEDRG-32-1_35,2844.0,1233.4588811397552,1233.4482831954956,0,256,256,100000,32,1,1
RevMax,MEDRG-32-1_35,5660.0,2756.0909991264343,2756.0796418190002,0,512,512,100000,32,1,1
RevMax,MEDRG-32-1_35,11292.0,5440.185075998306,5440.16969203949,0,1024,1024,100000,32,1,1
RevMax,MEDRG-32-1_35,22556.0,11166.837433099747,11166.81662607193,0,2048,2048,100000,32,1,1
RevMax,MEDRG-32-1_35,34379.93433240035,18745.892059087753,18745.848870515823,0,3125,3125,100000,32,1,1
