app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
NetCov,MEDRG-32-1_35,4114,29.79544186592102,29.78498601913452,0,4,4,100000,32,1,1
NetCov,MEDRG-32-1_35,7073,31.486997842788696,31.47648000717163,0,8,8,100000,32,1,1
NetCov,MEDRG-32-1_35,10733,62.7667760848999,62.75667405128479,0,16,16,100000,32,1,1
NetCov,MEDRG-32-1_35,15476,121.3802080154419,121.3698079586029,0,32,32,100000,32,1,1
NetCov,MEDRG-32-1_35,21717,308.534038066864,308.5241370201111,0,64,64,100000,32,1,1
NetCov,MEDRG-32-1_35,29503,899.8532478809357,899.8433248996735,0,128,128,100000,32,1,1
NetCov,MEDRG-32-1_35,39406,2025.381519794464,2025.3708219528198,0,256,256,100000,32,1,1
NetCov,MEDRG-32-1_35,50692,4130.864192008972,4130.853244781494,0,512,512,100000,32,1,1
NetCov,MEDRG-32-1_35,63361,8526.301537036896,8526.285893917084,0,1024,1024,100000,32,1,1
NetCov,MEDRG-32-1_35,76824,16113.21582198143,16113.187304258347,0,2048,2048,100000,32,1,1
