app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
RevMax,RandGreedI-32-1_25,48.0,20.796121835708618,20.204132080078125,0.3973569869995117,4,4,100000,32,1,1
RevMax,RandGreedI-32-1_25,96.0,35.21725296974182,34.34263896942139,0.6863439083099365,8,8,100000,32,1,1
RevMax,RandGreedI-32-1_25,192.0,49.50601601600647,48.049412965774536,1.2637629508972168,16,16,100000,32,1,1
RevMax,RandGreedI-32-1_25,380.0,95.83876490592957,89.00594997406006,6.643821954727173,32,32,100000,32,1,1
RevMax,RandGreedI-32-1_25,732.0,223.2800669670105,184.01327800750732,39.07686901092529,64,64,100000,32,1,1
RevMax,RandGreedI-32-1_25,1436.0,615.9646670818329,279.07366609573364,336.7013440132141,128,128,100000,32,1,1
RevMax,RandGreedI-32-1_25,2844.0,2428.4233210086823,518.326502084732,1909.9066631793976,256,256,100000,32,1,1
RevMax,RandGreedI-32-1_25,5660.0,10537.004518032074,935.4970359802246,9601.31535410881,512,512,100000,32,1,1
