app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
NetCov,MEDRG-32-1_14,4114,18.39477515220642,18.38391089439392,0,4,4,100000,32,1,1
NetCov,MEDRG-32-1_14,7073,30.381739854812622,30.371577978134155,0,8,8,100000,32,1,1
NetCov,MEDRG-32-1_14,10733,50.789671182632446,50.77957606315613,0,16,16,100000,32,1,1
NetCov,MEDRG-32-1_14,15476,111.38191103935242,111.37173414230347,0,32,32,100000,32,1,1
NetCov,MEDRG-32-1_14,21717,329.009644985199,328.9997310638428,0,64,64,100000,32,1,1
NetCov,MEDRG-32-1_14,29503,890.6000010967255,890.5898549556732,0,128,128,100000,32,1,1
NetCov,MEDRG-32-1_14,39406,2120.6384398937225,2120.6276438236237,0,256,256,100000,32,1,1
NetCov,MEDRG-32-1_14,50694,4224.314877986908,4224.304122924805,0,512,512,100000,32,1,1
NetCov,MEDRG-32-1_14,63364,8441.083266973495,8441.06761598587,0,1024,1024,100000,32,1,1
NetCov,MEDRG-32-1_14,76816,15521.867844104767,15521.844607114792,0,2048,2048,100000,32,1,1
