f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
278.05834514353865,14.197178840637207,13.209916114807129,0.9665091037750244,100,100,26588,2,4,1
452.34402003780656,17.04867434501648,15.403695821762085,1.6237685680389404,200,200,26588,2,4,1
602.345956716512,19.053786754608154,16.20252823829651,2.830385684967041,300,300,26588,2,4,1
740.4280449117641,23.93136191368103,19.961988925933838,3.9484336376190186,400,400,26588,2,4,1
870.4185857031373,24.193793535232544,19.33873748779297,4.834263801574707,500,500,26588,2,4,1
