f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
278.7994805077446,141.77022767066956,119.3404643535614,22.408845901489258,100,100,26588,8,1,1
453.7648608893663,276.0699870586395,178.29328751564026,97.75578045845032,200,200,26588,8,1,1
605.3947896148173,452.7641921043396,235.18273305892944,217.56041431427002,300,300,26588,8,1,1
743.958662006157,667.6313335895538,286.4302444458008,381.1802797317505,400,400,26588,8,1,1
874.0968755461807,927.9671177864075,338.80445194244385,589.1415288448334,500,500,26588,8,1,1
