f_of_S,Time,SolSize,k,n,nNodes,nThreads,trial
1028303.0,13.059308528900146,100,100,10677,8,4,1
2044632.0,16.784019947052002,200,200,10677,8,4,1
3048763.0,57.40149712562561,300,300,10677,8,4,1
4018754.0,65.29213356971741,400,400,10677,8,4,1
4983739.0,67.32826471328735,500,500,10677,8,4,1
